smiles,Cation,Anion,Melting point (K)
Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CC(F)(F)F)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,233.15
Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F,Cn1cc[n+](CC(F)(F)F)c1,O=S(=O)([O-])C(F)(F)F,318.15
CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,CCn1cc[n+](CC)c1,O=S(=O)([O-])C(F)(F)F,296.15
CCC[n+]1ccn(C)c1.[Cl-],CCC[n+]1ccn(C)c1,[Cl-],333.15
CCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,256.15
CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F,252.15
CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,231.15
CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,268.15
CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,261.15
CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,186.15
CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,307.15
CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,313.15
CC(C)[n+]1ccn(C)c1.[I-],CC(C)[n+]1ccn(C)c1,[I-],387.15
CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,289.15
CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,302.15
CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CC(C)[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,375.15
COCC[n+]1ccn(C)c1.[Cl-],COCC[n+]1ccn(C)c1,[Cl-],340.15
COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,COCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F,275.15
COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,COCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,264.15
COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,COCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,300.15
COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,COCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,299.15
CCCC[n+]1ccn(C)c1.[I-],CCCC[n+]1ccn(C)c1,[I-],201.15
CCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,377.15
CCCC[n+]1ccn(C)c1.C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1,CCCC[n+]1ccn(C)c1,C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1,377.15
CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,CCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,363.15
CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,CCCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,231.15
CC(CC#N)[B-](F)(F)F.CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1,CC(CC#N)[B-](F)(F)F,188.15
CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,264.15
CCCC[n+]1ccn(C)c1.N#C[N-]C#N,CCCC[n+]1ccn(C)c1,N#C[N-]C#N,267.15
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,289.15
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,293.15
CCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1,CCCCCOS(=O)(=O)[O-],256.15
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,258.15
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,212.15
CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,CCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F,233.15
CC(=O)[O-].CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1,CC(=O)[O-],253.15
CCCC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,CCCC[n+]1ccn(C)c1,Cl[Al-](Cl)(Cl)Cl,263.15
CCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,355.15
CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,264.15
CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,CCCCC[n+]1ccn(C)c1,O=C1[N-]S(=O)(=O)c2ccccc21,337.15
CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1ccn(CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,265.15
CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F,CCCC[n+]1ccn(CC)c1,O=S(=O)([O-])C(F)(F)F,275.15
CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC[n+]1ccn(CC)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,294.15
CCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F,CCCC[n+]1ccn(CC)c1,O=C([O-])C(F)(F)F,233.15
CCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCC[n+]1ccn(C)c1,[Cl-],198.15
CCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,355.15
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,263.15
CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,266.15
CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,302.15
CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,223.15
Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],Cn1cc[n+](CC(=O)c2ccccc2)c1,[Br-],322.15
CCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,342.15
CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,280.15
